"gene","gene_name","dev_default","rank_default","dev_slide","rank_slide"
"ENSG00000036530","CYP46A1",86210.0704222041,922,85228.2880656766,926
"ENSG00000203485","INF2",78769.5410470119,1207,78540.1934488132,1187
"ENSG00000099814","CEP170B",69093.8517081391,1693,68823.1313192461,1673
"ENSG00000092445","TYRO3",80556.8642582037,1128,79833.2170399081,1132
"ENSG00000167004","PDIA3",63804.4175430781,1948,63548.7455984394,1938
"ENSG00000171914","TLN2",67397.6951943147,1772,67276.1503137172,1750
"ENSG00000103647","CORO2B",74122.8804470517,1416,73885.8825433587,1398
"ENSG00000166173","LARP6",68928.1851577395,1704,68870.7573181637,1671
"ENSG00000140403","DNAJA4",74468.5052833309,1400,73278.3923622216,1427
"ENSG00000041357","PSMA4",66182.4629608371,1838,65923.7945966418,1823
"ENSG00000140538","NTRK3",62551.9624770978,1997,62351.0010736534,1983
"ENSG00000272888","LINC01578",75092.7553173975,1376,74990.7826217724,1350
"ENSG00000130731","METTL26",91568.3249803131,764,90253.619832385,780
"ENSG00000103254","ANTKMT",72013.6575826454,1532,71078.0667836439,1551
"ENSG00000090581","GNPTG",69709.7529243347,1656,69394.7333060777,1641
"ENSG00000063854","HAGH",77036.6984987388,1286,76426.6123206045,1283
"ENSG00000167978","SRRM2",78167.1495496751,1234,77571.76284174,1233
"ENSG00000006007","GDE1",65343.5616239803,1875,65308.0539992501,1850
"ENSG00000149925","ALDOA",90148.4005210802,799,85239.4307217131,925
"ENSG00000089280","FUS",81949.4818275052,1087,81272.0623045003,1084
"ENSG00000125148","MT2A",276192.326916948,13,247408.699226051,13
"ENSG00000125166","GOT2",73186.7813095535,1462,73106.4442144102,1438
"ENSG00000166595","CIAO2B",76981.5349564485,1291,76309.3209487458,1291
"ENSG00000132612","VPS4A",75675.7052514204,1349,75414.3112340199,1332
"ENSG00000103035","PSMD7",66599.3194731318,1819,66500.9259373558,1794
"ENSG00000230989","HSBP1",89800.6306786324,808,89737.4403320595,792
"ENSG00000108518","PFN1",92853.6457106761,735,92321.6991911229,724
"ENSG00000132507","EIF5A",74972.5011183738,1378,74627.8282615248,1367
"ENSG00000174282","ZBTB4",66943.3398121001,1802,66804.2293200251,1777
"ENSG00000161970","RPL26",130389.075002266,167,128949.267418224,147
"ENSG00000007237","GAS7",98639.8314003836,604,98369.158104764,585
"ENSG00000175662","TOM1L2",71509.1424603952,1555,71461.889151487,1533
"ENSG00000091542","ALKBH5",66561.8491989095,1820,66470.890617562,1796
"ENSG00000109046","WSB1",68007.5222691125,1740,66776.0985535291,1780
"ENSG00000108262","GIT1",79883.6455330822,1153,79614.0548933002,1141
"ENSG00000131242","RAB11FIP4",78859.3229968359,1197,78681.0479748979,1182
"ENSG00000277791","PSMB3",80543.5375233471,1130,79861.1234401094,1130
"ENSG00000141741","MIEN1",72089.4060808659,1526,70896.7223348444,1562
"ENSG00000188895","MSL1",61480.8508324366,2038,61309.7092840283,2028
"ENSG00000173812","EIF1",124095.623477389,223,123406.001067638,207
"ENSG00000183978","COA3",76512.309437512,1311,75978.2970382989,1311
"ENSG00000082641","NFE2L1",77059.9494783942,1285,76942.8870311408,1262
"ENSG00000108819","PPP1R9B",74647.6211541151,1393,74512.053817457,1376
"ENSG00000243678","NME2",108274.0563569,420,104767.833947098,449
"ENSG00000154229","PRKCA",94257.2173164508,695,90835.6962103709,767
"ENSG00000196704","AMZ2",66692.7478717337,1813,66595.8235860102,1789
"ENSG00000132475","H3F3B",119410.91148622,284,117685.506928476,276
"ENSG00000175866","BAIAP2",82085.5782358332,1080,81782.7601843964,1062
"ENSG00000224877","NDUFAF8",83236.9568023894,1039,82869.3765189397,1025
"ENSG00000262814","MRPL12",64910.5231991068,1895,64587.0432412797,1885
"ENSG00000185624","P4HB",72877.923884153,1482,72783.5149501218,1456
"ENSG00000141522","ARHGDIA",89790.7435755044,810,89482.6215586,802
"ENSG00000141552","ANAPC11",88218.4446357724,855,87165.1155516769,862
"ENSG00000169710","FASN",89235.0202099187,826,88792.6091517955,814
"ENSG00000141542","RAB40B",81645.1010145114,1099,81299.8270296504,1082
"ENSG00000082397","EPB41L3",82441.1384160112,1065,81834.9089081065,1057
"ENSG00000134769","DTNA",89419.7400033023,821,86187.0254863837,892
"ENSG00000177576","C18orf32",84475.1957459999,995,84243.5602884124,978
"ENSG00000265681","RPL17",165212.323333535,42,141021.695659478,84
"ENSG00000134440","NARS",77741.258200524,1250,77379.3802884007,1241
"ENSG00000049759","NEDD4L",64963.1722927245,1890,64535.2163932517,1889
"ENSG00000133313","CNDP2",71409.2471191248,1562,71074.0673911023,1552
"ENSG00000141759","TXNL4A",88345.0967180064,852,87618.583390762,842
"ENSG00000182087","TMEM259",68410.1523118201,1732,67957.0806616769,1716
"ENSG00000099817","POLR2E",85333.684270025,958,84074.2363063577,987
"ENSG00000115286","NDUFS7",94331.3861317961,693,93646.644638651,680
"ENSG00000130005","GAMT",67999.3924395746,1742,67867.405742655,1723
"ENSG00000133243","BTBD2",79316.8456227787,1173,78905.4746692789,1168
"ENSG00000130332","LSM7",71267.9651240935,1574,70710.4018227242,1569
"ENSG00000099800","TIMM13",75855.8086116049,1341,74976.9080985773,1351
"ENSG00000099860","GADD45B",74846.6062068488,1387,72756.9642256086,1460
"ENSG00000141905","NFIC",69294.9451308468,1681,68553.7542263056,1694
"ENSG00000167671","UBXN6",85246.1444128364,962,84458.0927654261,969
"ENSG00000160633","SAFB",62457.4205292342,2001,62294.7210398035,1985
"ENSG00000130382","MLLT1",67174.9207145948,1788,66900.2521986949,1771
"ENSG00000104833","TUBB4A",127416.667669175,187,124037.005575641,199
"ENSG00000267855","NDUFA7",83337.217884913,1032,81610.6678021873,1071
"ENSG00000179271","GADD45GIP1",90159.663085807,797,88790.1963532991,815
"ENSG00000104979","C19orf53",86682.2700347196,907,85454.8866197711,911
"ENSG00000099797","TECR",91107.985579087,773,90985.5754211647,764
"ENSG00000130479","MAP1S",69525.6705826825,1670,68652.5309505094,1685
"ENSG00000130522","JUND",122053.358867279,244,121605.971866173,225
"ENSG00000130511","SSBP4",82175.6905389334,1077,81196.8723225597,1085
"ENSG00000221983","UBA52",116494.673435365,318,116117.125545937,297
"ENSG00000006015","REX1BD",88191.9510427096,858,85260.8199112862,923
"ENSG00000250067","YJEFN3",85948.6466595422,935,83513.4448780879,1001
"ENSG00000105258","POLR2I",93697.3456989715,714,93073.8088310012,697
"ENSG00000105254","TBCB",92187.6251199599,751,91990.872836279,734
"ENSG00000130402","ACTN4",76585.8110770161,1309,75804.3915999245,1319
"ENSG00000105404","RABAC1",97878.7040004918,623,96883.6351545846,618
"ENSG00000105767","CADM4",66085.1772463525,1844,65833.0656798739,1830
"ENSG00000104853","CLPTM1",80078.4956922795,1148,79772.5044172944,1133
"ENSG00000011485","PPP5C",66891.3339764904,1806,66439.6147092915,1798
"ENSG00000105419","MEIS3",61959.1737513061,2019,61537.1041222572,2016
"ENSG00000118160","SLC8A2",76430.0206784534,1315,76355.860506379,1288
"ENSG00000063177","RPL18",132406.53119136,152,128016.834192632,158
"ENSG00000104805","NUCB1",72656.476437372,1500,72578.593034155,1471
"ENSG00000142541","RPL13A",134608.895631421,135,131979.382241128,126
"ENSG00000142534","RPS11",124091.314260709,224,123471.619151393,205
"ENSG00000104960","PTOV1",92395.7637189195,747,91206.9692175955,755
"ENSG00000161671","EMC10",66990.5512928285,1800,66937.156790686,1766
"ENSG00000167614","TTYH1",118399.798850554,301,117369.954910534,283
"ENSG00000121413","ZSCAN18",76007.7811673238,1338,75814.8866101685,1317
"ENSG00000198171","DDRGK1",65601.6047681425,1861,65056.8749472027,1862
"ENSG00000197586","ENTPD6",86308.4864822596,917,85871.3094681625,898
"ENSG00000101460","MAP1LC3A",106504.72452346,455,104382.547713283,456
"ENSG00000126005","MMP24OS",77886.8517412787,1245,77179.4883818836,1249
"ENSG00000125995","ROMO1",84115.0090483128,1004,82475.3825605133,1038
"ENSG00000168734","PKIG",76603.3462841306,1306,76379.6960351224,1286
"ENSG00000244687","UBE2V1",70748.3906747456,1599,70531.5745461195,1578
"ENSG00000171858","RPS21",145717.570951662,88,137900.307141098,96
"ENSG00000185658","BRWD1",75357.7079176049,1365,75142.7401754616,1342
"ENSG00000160194","NDUFV3",74536.7406432962,1398,73772.1307289122,1400
"ENSG00000184113","CLDN5",78411.8103228929,1222,76708.8730892347,1270
"ENSG00000128266","GNAZ",68015.1076198469,1739,67882.1503959663,1720
"ENSG00000099977","DDT",83319.1319599566,1034,81164.5834053006,1087
"ENSG00000225783","MIAT",85307.8917582342,959,83229.3751596497,1008
"ENSG00000100320","RBFOX2",79460.3645664637,1169,78964.2651422748,1167
"ENSG00000198792","TMEM184B",63358.7624287586,1964,62996.2679388406,1956
"ENSG00000213923","CSNK1E",69531.3556804791,1669,69326.6542621963,1645
"ENSG00000100201","DDX17",99348.7772412443,585,98067.0313560413,594
"ENSG00000183741","CBX6",91020.0418077268,775,90142.5293852707,785
"ENSG00000100307","CBX7",65140.9826198379,1883,64514.6042933205,1890
"ENSG00000128272","ATF4",86491.2000678066,910,86194.2237756913,891
"ENSG00000187051","RPS19BP1",78241.4576499877,1232,77154.0562126235,1251
"ENSG00000183172","SMDT1",83389.2341260796,1029,82285.4587881693,1044
"ENSG00000184983","NDUFA6",80907.6219024908,1120,80065.053911657,1125
"ENSG00000100243","CYB5R3",77655.3240352476,1254,77599.7414289407,1229
"ENSG00000219438","TAFA5",67623.9947526871,1758,67570.152196058,1736
"ENSG00000130066","SAT1",79882.2056253557,1154,78272.467580806,1202
"ENSG00000184205","TSPYL2",81438.3974605561,1106,81356.2739005833,1080
